filename,title,keywords,keyword_count,content_length,has_abstract,has_methods,has_results,has_conclusion
PMC5460236-From-the-bench-to-exploration-medicine-NASA-life-sciences-translational-research-for-human-explorati.md,Error,,0,2,False,False,False,False
PMC4136787-Mice-in-Bion-M-1-space-mission-training-and-selection.md,Error,,0,2,False,False,False,False
PMC6813909-Effects-of-ex-vivo-ionizing-radiation-on-collagen-structure-and-whole-bone-mechanical-properties-of-.md,Error,,0,2,False,False,False,False
PMC5587110-Microgravity-validation-of-a-novel-system-for-RNA-isolation-and-multiplex-quantitative-real-time-PCR.md,Error,,0,2,False,False,False,False
PMC8396460-Spaceflight-Modulates-the-Expression-of-Key-Oxidative-Stress-and-Cell-Cycle-Related-Genes-in-Heart.md,Error,,0,2,False,False,False,False
PMC11988870-Stem-Cell-Health-and-Tissue-Regeneration-in-Microgravity.md,Error,,0,2,False,False,False,False
PMC6222041-High-precision-method-for-cyclic-loading-of-small-animal-vertebrae-to-assess-bone-quality.md,Error,,0,2,False,False,False,False
PMC7998608-Microgravity-Reduces-the-Differentiation-and-Regenerative-Potential-of-Embryonic-Stem-Cells.md,Error,,0,2,False,False,False,False
PMC5666799-Dose-and-Ion-Dependent-Effects-in-the-Oxidative-Stress-Response-to-Space-Like-Radiation-Exposure-in-.md,Error,,0,2,False,False,False,False
PMC3630201-Microgravity-induces-pelvic-bone-loss-through-osteoclastic-activity-osteocytic-osteolysis-and-osteob.md,Error,,0,2,False,False,False,False
